location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.101019155035.P4K5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170810173913.P1C1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130712210212.Y4N2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PAPP20080331IROK5614794
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150617121904.V7S2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140420153445.S9M9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.110111171008.W3A3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PBE08267
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180614161502.H8W2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.210830192643.Z5W8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.120710202744.K8Q9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180909140515.I8Z3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419131816.A3V5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418160619.F3W9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.100917135016.K9H5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180901083610.X5K5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190816204008.N2E7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130529111506.I2M9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130208185957.H4K5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PGE11415
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PG020356
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130831112038.R4U9
