location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230403160126.V6D2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420231658.H6T9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.160108114909.H4O4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230610022409.A6Y5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.170602180555.R1D2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420220406.D3G1
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420220628.C2K5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420220741.I1G3
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230108231209.E6G8
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230322222138.B2U4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020210618.Y6D6
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421011730.W7V8
